"REF_DATE","GEO","DGUID","Toronto Stock Exchange Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1956-11","Canada","2016A000011124","Toronto Stock Exchange, financial services, closing quotations","Index, 2000=1000","176","units ","0","v122626","1.9","355.77","","","t","2"
"1956-11","Canada","2016A000011124","Toronto Stock Exchange, gold and silver, closing quotations","Index, 2000=1000","176","units ","0","v122627","1.10","209.53","","","t","2"
"1956-11","Canada","2016A000011124","Toronto Stock Exchange, stock dividend yields (composite), closing quotations","Percent","239","units ","0","v122628","1.11","3.64","","","t","2"
"1956-11","Canada","2016A000011124","Toronto Stock Exchange, price earnings ratio, closing quotations","Ratio","270","units ","0","v122629","1.12","14.53","","","t","2"
"1956-12","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, close","Index, 2000=1000","176","units ","0","v122620","1.3","564.97","","","","2"
"1956-12","Canada","2016A000011124","Toronto Stock Exchange, oil and gas, closing quotations","Index, 2000=1000","176","units ","0","v122621","1.4","614.34","","","t","2"
"1956-12","Canada","2016A000011124","Toronto Stock Exchange, metals and minerals, closing quotations","Index, 2000=1000","176","units ","0","v122622","1.5","827.30","","","t","2"
"1956-12","Canada","2016A000011124","Toronto Stock Exchange, utilities, closing quotations","Index, 2000=1000","176","units ","0","v122623","1.6","879.31","","","t","2"
"1956-12","Canada","2016A000011124","Toronto Stock Exchange, paper and forest products, closing quotations","Index, 2000=1000","176","units ","0","v122624","1.7","890.29","","","t","2"
"1956-12","Canada","2016A000011124","Toronto Stock Exchange, merchandising, closing quotations","Index, 2000=1000","176","units ","0","v122625","1.8","247.48","","","t","2"
"1956-12","Canada","2016A000011124","Toronto Stock Exchange, financial services, closing quotations","Index, 2000=1000","176","units ","0","v122626","1.9","383.19","","","t","2"
"1956-12","Canada","2016A000011124","Toronto Stock Exchange, gold and silver, closing quotations","Index, 2000=1000","176","units ","0","v122627","1.10","216.92","","","t","2"
"1956-12","Canada","2016A000011124","Toronto Stock Exchange, stock dividend yields (composite), closing quotations","Percent","239","units ","0","v122628","1.11","3.40","","","t","2"
"1956-12","Canada","2016A000011124","Toronto Stock Exchange, price earnings ratio, closing quotations","Ratio","270","units ","0","v122629","1.12","15.80","","","t","2"
"1957-01","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, close","Index, 2000=1000","176","units ","0","v122620","1.3","568.14","","","","2"
"1957-01","Canada","2016A000011124","Toronto Stock Exchange, oil and gas, closing quotations","Index, 2000=1000","176","units ","0","v122621","1.4","618.16","","","t","2"
"1957-01","Canada","2016A000011124","Toronto Stock Exchange, metals and minerals, closing quotations","Index, 2000=1000","176","units ","0","v122622","1.5","827.17","","","t","2"
"1957-01","Canada","2016A000011124","Toronto Stock Exchange, utilities, closing quotations","Index, 2000=1000","176","units ","0","v122623","1.6","879.51","","","t","2"
"1957-01","Canada","2016A000011124","Toronto Stock Exchange, paper and forest products, closing quotations","Index, 2000=1000","176","units ","0","v122624","1.7","865.97","","","t","2"
"1957-01","Canada","2016A000011124","Toronto Stock Exchange, merchandising, closing quotations","Index, 2000=1000","176","units ","0","v122625","1.8","253.40","","","t","2"
"1957-01","Canada","2016A000011124","Toronto Stock Exchange, financial services, closing quotations","Index, 2000=1000","176","units ","0","v122626","1.9","391.66","","","t","2"
"1957-01","Canada","2016A000011124","Toronto Stock Exchange, gold and silver, closing quotations","Index, 2000=1000","176","units ","0","v122627","1.10","227.52","","","t","2"
"1957-01","Canada","2016A000011124","Toronto Stock Exchange, stock dividend yields (composite), closing quotations","Percent","239","units ","0","v122628","1.11","3.31","","","t","2"
"1957-01","Canada","2016A000011124","Toronto Stock Exchange, price earnings ratio, closing quotations","Ratio","270","units ","0","v122629","1.12","15.88","","","t","2"
"1957-02","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, close","Index, 2000=1000","176","units ","0","v122620","1.3","545.24","","","","2"
"1957-02","Canada","2016A000011124","Toronto Stock Exchange, oil and gas, closing quotations","Index, 2000=1000","176","units ","0","v122621","1.4","597.26","","","t","2"
"1957-02","Canada","2016A000011124","Toronto Stock Exchange, metals and minerals, closing quotations","Index, 2000=1000","176","units ","0","v122622","1.5","792.45","","","t","2"
"1957-02","Canada","2016A000011124","Toronto Stock Exchange, utilities, closing quotations","Index, 2000=1000","176","units ","0","v122623","1.6","874.73","","","t","2"
"1957-02","Canada","2016A000011124","Toronto Stock Exchange, paper and forest products, closing quotations","Index, 2000=1000","176","units ","0","v122624","1.7","815.63","","","t","2"
"1957-02","Canada","2016A000011124","Toronto Stock Exchange, merchandising, closing quotations","Index, 2000=1000","176","units ","0","v122625","1.8","242.69","","","t","2"
"1957-02","Canada","2016A000011124","Toronto Stock Exchange, financial services, closing quotations","Index, 2000=1000","176","units ","0","v122626","1.9","357.93","","","t","2"
"1957-02","Canada","2016A000011124","Toronto Stock Exchange, gold and silver, closing quotations","Index, 2000=1000","176","units ","0","v122627","1.10","217.48","","","t","2"
"1957-02","Canada","2016A000011124","Toronto Stock Exchange, stock dividend yields (composite), closing quotations","Percent","239","units ","0","v122628","1.11","3.51","","","t","2"
"1957-02","Canada","2016A000011124","Toronto Stock Exchange, price earnings ratio, closing quotations","Ratio","270","units ","0","v122629","1.12","14.31","","","t","2"
"1957-03","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, close","Index, 2000=1000","176","units ","0","v122620","1.3","563.76","","","","2"
"1957-03","Canada","2016A000011124","Toronto Stock Exchange, oil and gas, closing quotations","Index, 2000=1000","176","units ","0","v122621","1.4","625.79","","","t","2"
"1957-03","Canada","2016A000011124","Toronto Stock Exchange, metals and minerals, closing quotations","Index, 2000=1000","176","units ","0","v122622","1.5","827.23","","","t","2"
"1957-03","Canada","2016A000011124","Toronto Stock Exchange, utilities, closing quotations","Index, 2000=1000","176","units ","0","v122623","1.6","877.35","","","t","2"
"1957-03","Canada","2016A000011124","Toronto Stock Exchange, paper and forest products, closing quotations","Index, 2000=1000","176","units ","0","v122624","1.7","845.47","","","t","2"
"1957-03","Canada","2016A000011124","Toronto Stock Exchange, merchandising, closing quotations","Index, 2000=1000","176","units ","0","v122625","1.8","240.60","","","t","2"
"1957-03","Canada","2016A000011124","Toronto Stock Exchange, financial services, closing quotations","Index, 2000=1000","176","units ","0","v122626","1.9","367.20","","","t","2"
"1957-03","Canada","2016A000011124","Toronto Stock Exchange, gold and silver, closing quotations","Index, 2000=1000","176","units ","0","v122627","1.10","213.35","","","t","2"
"1957-03","Canada","2016A000011124","Toronto Stock Exchange, stock dividend yields (composite), closing quotations","Percent","239","units ","0","v122628","1.11","3.38","","","t","2"
"1957-03","Canada","2016A000011124","Toronto Stock Exchange, price earnings ratio, closing quotations","Ratio","270","units ","0","v122629","1.12","14.79","","","t","2"
"1957-04","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, close","Index, 2000=1000","176","units ","0","v122620","1.3","589.32","","","","2"
"1957-04","Canada","2016A000011124","Toronto Stock Exchange, oil and gas, closing quotations","Index, 2000=1000","176","units ","0","v122621","1.4","669.66","","","t","2"
"1957-04","Canada","2016A000011124","Toronto Stock Exchange, metals and minerals, closing quotations","Index, 2000=1000","176","units ","0","v122622","1.5","879.75","","","t","2"
"1957-04","Canada","2016A000011124","Toronto Stock Exchange, utilities, closing quotations","Index, 2000=1000","176","units ","0","v122623","1.6","879.58","","","t","2"
"1957-04","Canada","2016A000011124","Toronto Stock Exchange, paper and forest products, closing quotations","Index, 2000=1000","176","units ","0","v122624","1.7","842.10","","","t","2"
"1957-04","Canada","2016A000011124","Toronto Stock Exchange, merchandising, closing quotations","Index, 2000=1000","176","units ","0","v122625","1.8","263.76","","","t","2"
"1957-04","Canada","2016A000011124","Toronto Stock Exchange, financial services, closing quotations","Index, 2000=1000","176","units ","0","v122626","1.9","374.05","","","t","2"
"1957-04","Canada","2016A000011124","Toronto Stock Exchange, gold and silver, closing quotations","Index, 2000=1000","176","units ","0","v122627","1.10","211.19","","","t","2"
"1957-04","Canada","2016A000011124","Toronto Stock Exchange, stock dividend yields (composite), closing quotations","Percent","239","units ","0","v122628","1.11","3.26","","","t","2"
"1957-04","Canada","2016A000011124","Toronto Stock Exchange, price earnings ratio, closing quotations","Ratio","270","units ","0","v122629","1.12","15.47","","","t","2"
"1957-05","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, close","Index, 2000=1000","176","units ","0","v122620","1.3","606.14","","","","2"
"1957-05","Canada","2016A000011124","Toronto Stock Exchange, oil and gas, closing quotations","Index, 2000=1000","176","units ","0","v122621","1.4","726.75","","","t","2"
"1957-05","Canada","2016A000011124","Toronto Stock Exchange, metals and minerals, closing quotations","Index, 2000=1000","176","units ","0","v122622","1.5","868.13","","","t","2"
"1957-05","Canada","2016A000011124","Toronto Stock Exchange, utilities, closing quotations","Index, 2000=1000","176","units ","0","v122623","1.6","887.53","","","t","2"
"1957-05","Canada","2016A000011124","Toronto Stock Exchange, paper and forest products, closing quotations","Index, 2000=1000","176","units ","0","v122624","1.7","850.96","","","t","2"
"1957-05","Canada","2016A000011124","Toronto Stock Exchange, merchandising, closing quotations","Index, 2000=1000","176","units ","0","v122625","1.8","286.34","","","t","2"
"1957-05","Canada","2016A000011124","Toronto Stock Exchange, financial services, closing quotations","Index, 2000=1000","176","units ","0","v122626","1.9","387.75","","","t","2"
"1957-05","Canada","2016A000011124","Toronto Stock Exchange, gold and silver, closing quotations","Index, 2000=1000","176","units ","0","v122627","1.10","202.88","","","t","2"
"1957-05","Canada","2016A000011124","Toronto Stock Exchange, stock dividend yields (composite), closing quotations","Percent","239","units ","0","v122628","1.11","3.16","","","t","2"
"1957-05","Canada","2016A000011124","Toronto Stock Exchange, price earnings ratio, closing quotations","Ratio","270","units ","0","v122629","1.12","15.87","","","t","2"
"1957-06","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, close","Index, 2000=1000","176","units ","0","v122620","1.3","592.74","","","","2"
"1957-06","Canada","2016A000011124","Toronto Stock Exchange, oil and gas, closing quotations","Index, 2000=1000","176","units ","0","v122621","1.4","711.46","","","t","2"
"1957-06","Canada","2016A000011124","Toronto Stock Exchange, metals and minerals, closing quotations","Index, 2000=1000","176","units ","0","v122622","1.5","851.08","","","t","2"
"1957-06","Canada","2016A000011124","Toronto Stock Exchange, utilities, closing quotations","Index, 2000=1000","176","units ","0","v122623","1.6","847.17","","","t","2"
"1957-06","Canada","2016A000011124","Toronto Stock Exchange, paper and forest products, closing quotations","Index, 2000=1000","176","units ","0","v122624","1.7","868.73","","","t","2"
