"REF_DATE","GEO","DGUID","Components of population growth","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1972/1973","New Brunswick","2016A000213","Returning emigrants","Persons","249","units ","0","v29768543","5.10","622","","","","0"
"1972/1973","New Brunswick","2016A000213","Net interprovincial migration","Persons","249","units ","0","v391137","5.5","2102","","","","0"
"1972/1973","New Brunswick","2016A000213","Net non-permanent residents","Persons","249","units ","0","v29768545","5.12","94","","","","0"
"1972/1973","New Brunswick","2016A000213","Residual deviation","Persons","249","units ","0","v53437076","5.8","1816","","","","0"
"1972/1973","Quebec","2016A000224","Births","Persons","249","units ","0","v391079","6.1","83801","","","","0"
"1972/1973","Quebec","2016A000224","Deaths","Persons","249","units ","0","v391094","6.2","42401","","","","0"
"1972/1973","Quebec","2016A000224","Immigrants","Persons","249","units ","0","v391109","6.3","19861","","","","0"
"1972/1973","Quebec","2016A000224","Emigrants","Persons","249","units ","0","v29768546","6.9","11054","","","","0"
"1972/1973","Quebec","2016A000224","Returning emigrants","Persons","249","units ","0","v29768547","6.10","6410","","","","0"
"1972/1973","Quebec","2016A000224","Net interprovincial migration","Persons","249","units ","0","v391138","6.5","-19754","","","","0"
"1972/1973","Quebec","2016A000224","Net non-permanent residents","Persons","249","units ","0","v29768549","6.12","1664","","","","0"
"1972/1973","Quebec","2016A000224","Residual deviation","Persons","249","units ","0","v53437077","6.8","-406","","","","0"
"1972/1973","Ontario","2016A000235","Births","Persons","249","units ","0","v391080","7.1","124353","","","","0"
"1972/1973","Ontario","2016A000235","Deaths","Persons","249","units ","0","v391095","7.2","59033","","","","0"
"1972/1973","Ontario","2016A000235","Immigrants","Persons","249","units ","0","v391110","7.3","75267","","","","0"
"1972/1973","Ontario","2016A000235","Emigrants","Persons","249","units ","0","v29768550","7.9","30646","","","","0"
"1972/1973","Ontario","2016A000235","Returning emigrants","Persons","249","units ","0","v29768551","7.10","17263","","","","0"
"1972/1973","Ontario","2016A000235","Net interprovincial migration","Persons","249","units ","0","v391139","7.5","940","","","","0"
"1972/1973","Ontario","2016A000235","Net non-permanent residents","Persons","249","units ","0","v29768553","7.12","4180","","","","0"
"1972/1973","Ontario","2016A000235","Residual deviation","Persons","249","units ","0","v53437078","7.8","19894","","","","0"
